gene_id,product_description,chromosome,start,end,strand,functional_category
LOC103696149,LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.1,NC_052395.1,20518181,20524153,+,Protein_Kinases
LOC103721560,receptor protein kinase-like protein ZAR1,NC_052395.1,20716147,20719594,+,Protein_Kinases
LOC103722343,protein kinase and PP2C-like domain-containing protein%2C transcript variant X1,NC_052395.1,20953657,20968426,-,Protein_Kinases
LOC103708138,mitogen-activated protein kinase 4%2C transcript variant X2,NC_052395.1,21126517,21132556,+,Protein_Kinases
LOC103708145,abscisic acid and environmental stress-inducible protein TAS14,NC_052395.1,21189390,21190552,+,Stress_Osmoprotectants
LOC113462724,receptor-like serine/threonine-protein kinase SD1-8%2C transcript variant X1,NC_052395.1,21570132,21576652,+,Protein_Kinases
LOC120110659,receptor-like serine/threonine-protein kinase SD1-8,NC_052395.1,21584706,21586990,+,Protein_Kinases
LOC103697497,G-type lectin S-receptor-like serine/threonine-protein kinase SD1-1%2C transcript variant X1,NC_052395.1,21588023,21590592,+,Protein_Kinases
LOC103697499,G-type lectin S-receptor-like serine/threonine-protein kinase At4g27290%2C transcript variant X3,NC_052395.1,21599346,21605083,+,Protein_Kinases
LOC108510942,G-type lectin S-receptor-like serine/threonine-protein kinase SD1-1%2C transcript variant X3,NC_052395.1,21629458,21660430,+,Protein_Kinases
LOC120110554,receptor-like serine/threonine-protein kinase SD1-8,NC_052395.1,21665315,21671335,+,Protein_Kinases
LOC103700767,receptor-like serine/threonine-protein kinase SD1-8,NC_052395.1,21690134,21696071,+,Protein_Kinases
LOC103695870,G-type lectin S-receptor-like serine/threonine-protein kinase LECRK3,NC_052395.1,21718250,21723497,-,Protein_Kinases
LOC120110553,G-type lectin S-receptor-like serine/threonine-protein kinase LECRK3%2C transcript variant X1,NC_052395.1,21743878,21748897,-,Protein_Kinases
LOC120110660,G-type lectin S-receptor-like serine/threonine-protein kinase LECRK3,NC_052395.1,21792299,21808990,-,Protein_Kinases
LOC120110556,receptor-like serine/threonine-protein kinase SD1-8%2C transcript variant X1,NC_052395.1,21840664,21844998,+,Protein_Kinases
LOC103698403,receptor-like serine/threonine-protein kinase SD1-8,NC_052395.1,21974293,21983896,+,Protein_Kinases
LOC120110662,receptor-like serine/threonine-protein kinase SD1-8,NC_052395.1,22079735,22102165,+,Protein_Kinases
LOC103699303,G-type lectin S-receptor-like serine/threonine-protein kinase At1g11300,NC_052395.1,22205409,22209314,-,Protein_Kinases
LOC103706610,universal stress protein PHOS32-like%2C transcript variant X3,NC_052395.1,22407053,22418475,-,Stress_Osmoprotectants
LOC103706608,G-type lectin S-receptor-like serine/threonine-protein kinase At2g19130,NC_052395.1,22429051,22453807,-,Protein_Kinases
LOC103710751,G-type lectin S-receptor-like serine/threonine-protein kinase At2g19130,NC_052395.1,22442506,22446283,-,Protein_Kinases
LOC120110564,G-type lectin S-receptor-like serine/threonine-protein kinase At2g19130%2C transcript variant X1,NC_052395.1,22478789,22487796,-,Protein_Kinases
LOC113460916,G-type lectin S-receptor-like serine/threonine-protein kinase At2g19130,NC_052395.1,22518253,22519810,-,Protein_Kinases
LOC103710748,G-type lectin S-receptor-like serine/threonine-protein kinase At2g19130,NC_052395.1,22573715,22576411,-,Protein_Kinases
LOC120110566,G-type lectin S-receptor-like serine/threonine-protein kinase At2g19130,NC_052395.1,22580139,22582902,-,Protein_Kinases
LOC103696545,cysteine-rich receptor-like protein kinase 10,NC_052395.1,22634127,22636463,+,Protein_Kinases
LOC103696543,cysteine-rich receptor-like protein kinase 6,NC_052395.1,22639194,22644535,+,Protein_Kinases
LOC103717695,cysteine-rich receptor-like protein kinase 6,NC_052395.1,22790601,22803405,+,Protein_Kinases
LOC113461548,cysteine-rich receptor-like protein kinase 10,NC_052395.1,22840852,22844998,+,Protein_Kinases
LOC103698634,cysteine-rich receptor-like protein kinase 6,NC_052395.1,22849173,22854725,+,Protein_Kinases
LOC103697911,cysteine-rich receptor-like protein kinase 10,NC_052395.1,22883247,22887205,-,Protein_Kinases
LOC103697174,cysteine-rich receptor-like protein kinase 6%2C transcript variant X2,NC_052395.1,22914795,22920133,+,Protein_Kinases
LOC103717039,cysteine-rich receptor-like protein kinase 10%2C transcript variant X5,NC_052395.1,23027820,23032273,+,Protein_Kinases
LOC103698462,cysteine-rich receptor-like protein kinase 10,NC_052395.1,23036035,23039469,-,Protein_Kinases
LOC103699155,cysteine-rich receptor-like protein kinase 10,NC_052395.1,23087547,23104111,-,Protein_Kinases
LOC113461200,cysteine-rich receptor-like protein kinase 29,NC_052395.1,23105215,23112204,+,Protein_Kinases
LOC103696323,putative receptor-like protein kinase At4g00960,NC_052395.1,23115502,23120130,+,Protein_Kinases
LOC103697754,putative receptor-like protein kinase At4g00960,NC_052395.1,23160579,23164180,+,Protein_Kinases
LOC103709977,calcium/calmodulin-regulated receptor-like kinase 1,NC_052395.1,23382775,23388343,-,Protein_Kinases
LOC120110673,cysteine-rich receptor-like protein kinase 10,NC_052395.1,23868479,23876477,-,Protein_Kinases
LOC103715354,probable pyruvate%2C phosphate dikinase regulatory protein%2C chloroplastic,NC_052395.1,24213326,24217883,-,Protein_Kinases
LOC103715355,probable pyruvate%2C phosphate dikinase regulatory protein%2C chloroplastic,NC_052395.1,24218731,24222050,-,Protein_Kinases
LOC113462019,zinc finger A20 and AN1 domain-containing stress-associated protein 1-like,NC_052395.1,25222231,25223036,-,Transcription_Factors
LOC103717626,calcium-dependent protein kinase 19-like,NC_052395.1,25873675,25882152,+,Protein_Kinases
LOC103711351,serine/threonine-protein kinase STY13-like,NC_052395.1,29125770,29135251,-,Protein_Kinases
LOC103707190,mitotic checkpoint serine/threonine-protein kinase BUB1,NC_052395.1,29568118,29573557,-,Protein_Kinases
LOC103707176,serine/threonine-protein kinase 24-like%2C transcript variant X2,NC_052395.1,29702168,29722267,+,Protein_Kinases
LOC103707153,probable sodium/metabolite cotransporter BASS1%2C chloroplastic%2C transcript variant X1,NC_052395.1,29940137,29955661,+,Ion_Transporters
LOC103707137,protein RICE SALT SENSITIVE 3-like,NC_052395.1,30218238,30221506,+,Other_Signaling_Metabolism
LOC120110687,death-associated protein kinase dapk-1-like,NC_052395.1,30453789,30454271,-,Protein_Kinases
LOC103713347,serine/threonine-protein kinase Nek2-like%2C transcript variant X1,NC_052395.1,30738028,30744226,-,Protein_Kinases
LOC103697286,fructokinase-like 2%2C chloroplastic,NC_052395.1,31705856,31722793,+,Protein_Kinases
LOC103705461,serine/threonine-protein kinase 25-like%2C transcript variant X1,NC_052395.1,31956577,31970470,-,Protein_Kinases
LOC103718209,LRR receptor-like serine/threonine-protein kinase RPK2%2C transcript variant X4,NC_052395.1,32424568,32431549,-,Protein_Kinases
LOC103714632,probable serine/threonine-protein kinase PBL23%2C transcript variant X1,NC_052396.1,164785,170230,+,Protein_Kinases
LOC120110784,phosphoribulokinase%2C chloroplastic-like,NC_052396.1,660511,664663,-,Protein_Kinases
LOC120110793,mitogen-activated protein kinase kinase 10-like,NC_052396.1,1008351,1010624,-,Protein_Kinases
LOC103696761,heat stress transcription factor A-1-like,NC_052396.1,1016834,1022492,-,Stress_Osmoprotectants
LOC103703908,cyclin-dependent kinase inhibitor 5-like,NC_052396.1,1302305,1306180,-,Protein_Kinases
LOC103703914,probable serine/threonine-protein kinase PBL7,NC_052396.1,1401742,1404733,-,Protein_Kinases
LOC103703922,serine/threonine-protein kinase tricornered-like%2C transcript variant X1,NC_052396.1,1462992,1476530,+,Protein_Kinases
LOC103703944,phosphoenolpyruvate carboxylase kinase 2-like,NC_052396.1,1796939,1798547,+,Protein_Kinases
LOC103703946,adenosine kinase 2-like,NC_052396.1,1826103,1834267,-,Protein_Kinases
LOC103703976,acetylglutamate kinase-like,NC_052396.1,2116361,2117886,-,Protein_Kinases
LOC103703981,phosphoenolpyruvate carboxykinase (ATP) 1,NC_052396.1,2169422,2176791,-,Protein_Kinases
LOC103711671,ceramide kinase%2C transcript variant X2,NC_052396.1,2457174,2468053,-,Protein_Kinases
LOC103704654,putative kinase-like protein TMKL1,NC_052396.1,2504675,2507607,+,Protein_Kinases
LOC103704667,serine/threonine-protein kinase D6PKL1-like,NC_052396.1,2665567,2671846,-,Protein_Kinases
LOC103704602,nucleoside diphosphate kinase B,NC_052396.1,2745431,2748338,-,Protein_Kinases
LOC103704679,pyruvate kinase isozyme G%2C chloroplastic%2C transcript variant X2,NC_052396.1,3293095,3303831,+,Protein_Kinases
LOC103704712,phosphoenolpyruvate carboxykinase (ATP)-like,NC_052396.1,3694562,3705116,-,Protein_Kinases
LOC103704715,inositol-tetrakisphosphate 1-kinase 5-like%2C transcript variant X3,NC_052396.1,3724053,3736385,+,Protein_Kinases
LOC103696762,mitogen-activated protein kinase kinase 10,NC_052396.1,3791193,3792176,+,Protein_Kinases
LOC103712190,CDPK-related kinase 3-like,NC_052396.1,4740961,4760094,+,Protein_Kinases
LOC103712201,probable LRR receptor-like serine/threonine-protein kinase At4g36180,NC_052396.1,4939763,4941043,+,Protein_Kinases
LOC103712205,salt tolerance receptor-like cytoplasmic kinase 1,NC_052396.1,4967286,4968910,-,Protein_Kinases
LOC103722051,sphingoid long-chain bases kinase 1-like,NC_052396.1,5101982,5120197,+,Protein_Kinases
LOC120110923,probable inactive serine/threonine-protein kinase slob2,NC_052396.1,5456063,5456563,+,Protein_Kinases
LOC103707697,heat stress transcription factor B-2b-like%2C transcript variant X1,NC_052396.1,5688473,5691867,+,Stress_Osmoprotectants
LOC103711152,shaggy-related protein kinase alpha-like%2C transcript variant X2,NC_052396.1,5782152,5794100,-,Protein_Kinases
LOC120110832,probable LRR receptor-like serine/threonine-protein kinase At1g12460,NC_052396.1,6462891,6466219,-,Protein_Kinases
LOC103716891,probable LRR receptor-like serine/threonine-protein kinase At1g12460,NC_052396.1,6551328,6554828,-,Protein_Kinases
LOC103721621,probable serine/threonine-protein kinase At1g01540%2C transcript variant X2,NC_052396.1,6961490,6964814,-,Protein_Kinases
LOC103720091,probable membrane-associated kinase regulator 6,NC_052396.1,7081671,7082853,-,Protein_Kinases
LOC103720086,probable receptor-like protein kinase At5g24010,NC_052396.1,7104908,7106695,-,Protein_Kinases
LOC103711463,probable receptor-like protein kinase At5g24010%2C transcript variant X2,NC_052396.1,7110160,7139988,-,Protein_Kinases
LOC103702761,serine/threonine-protein kinase ATG1a-like%2C transcript variant X1,NC_052396.1,7515194,7536284,-,Protein_Kinases
LOC103710352,cyclin-dependent kinases regulatory subunit 1%2C transcript variant X2,NC_052396.1,7978074,7979102,+,Protein_Kinases
LOC120110857,calmodulin-binding receptor-like cytoplasmic kinase 2,NC_052396.1,8309714,8317509,+,Protein_Kinases
LOC103710914,SNF1-related protein kinase regulatory subunit beta-3,NC_052396.1,9254611,9264428,+,Protein_Kinases
LOC103717728,mitogen-activated protein kinase kinase kinase YODA-like%2C transcript variant X5,NC_052396.1,11800485,11840191,-,Protein_Kinases
LOC120110898,cyclin-dependent kinase E-1-like%2C transcript variant X2,NC_052396.1,13754495,13760869,-,Protein_Kinases
LOC103723987,probable serine/threonine-protein kinase PIX13,NC_052396.1,15441826,15445101,+,Protein_Kinases
LOC103701655,serine/threonine-protein kinase PRP4 homolog,NC_052396.1,16668113,16670919,+,Protein_Kinases
LOC120110907,cyclin-dependent kinase B1-1-like%2C transcript variant X1,NC_052396.1,16833286,16840512,-,Protein_Kinases
LOC103712491,probable leucine-rich repeat receptor-like protein kinase At1g68400,NC_052396.1,16857032,16859833,-,Protein_Kinases
LOC103713009,dual specificity protein kinase YAK1 homolog%2C transcript variant X4,NC_052396.1,17897686,17932007,+,Protein_Kinases
LOC103716665,probable serine/threonine-protein kinase PBL15,NC_052396.1,18168409,18173660,-,Protein_Kinases
LOC103716644,LRR receptor-like serine/threonine-protein kinase FEI 1,NC_052396.1,18239239,18271631,-,Protein_Kinases
LOC103703785,LRR receptor-like serine/threonine-protein kinase,NC_052397.1,103294,107771,+,Protein_Kinases
LOC103703776,mitogen-activated protein kinase kinase 3%2C transcript variant X3,NC_052397.1,257090,274036,+,Protein_Kinases
LOC103703773,ribose-phosphate pyrophosphokinase 4%2C transcript variant X1,NC_052397.1,292602,301938,-,Protein_Kinases
LOC120110977,uncharacterized sugar kinase slr0537,NC_052397.1,696535,700795,-,Protein_Kinases
LOC103698521,serine/threonine-protein kinase TOR%2C transcript variant X3,NC_052397.1,843486,903600,+,Protein_Kinases
LOC103702001,phosphatidylinositol 3-kinase%2C root isoform%2C transcript variant X2,NC_052397.1,945894,963884,+,Protein_Kinases
LOC103702000,pantothenate kinase 2-like,NC_052397.1,982356,1004258,+,Protein_Kinases
LOC103702060,serine/threonine-protein kinase ATM,NC_052397.1,1070319,1153243,+,Protein_Kinases
LOC103701995,universal stress protein A-like protein,NC_052397.1,1160881,1169424,-,Stress_Osmoprotectants
LOC103701992,proline-rich receptor-like protein kinase PERK12,NC_052397.1,1198129,1204376,-,Protein_Kinases
LOC103701990,serine/threonine-protein kinase BLUS1%2C transcript variant X1,NC_052397.1,1218313,1242123,-,Protein_Kinases
LOC103701983,serine/threonine/tyrosine-protein kinase HT1-like%2C transcript variant X2,NC_052397.1,1311995,1317834,-,Protein_Kinases
LOC103701974,serine/threonine-protein kinase STY13-like,NC_052397.1,1441625,1449364,+,Protein_Kinases
LOC103701972,proline-rich receptor-like protein kinase PERK8,NC_052397.1,1484611,1491778,+,Protein_Kinases
LOC103702054,putative cysteine-rich receptor-like protein kinase 23,NC_052397.1,1940096,1941688,+,Protein_Kinases
LOC103697167,rust resistance kinase Lr10-like,NC_052397.1,2285004,2287759,+,Protein_Kinases
LOC108510665,rust resistance kinase Lr10-like,NC_052397.1,2291564,2295832,+,Protein_Kinases
LOC103713358,receptor protein kinase TMK1-like,NC_052397.1,2413865,2418220,-,Protein_Kinases
LOC103696690,probable histidine kinase 4,NC_052397.1,2479238,2489120,+,Protein_Kinases
LOC103713200,putative 3%2C4-dihydroxy-2-butanone kinase,NC_052397.1,2637342,2681152,+,Protein_Kinases
LOC103713759,serine/threonine-protein kinase BRI1-like 2,NC_052397.1,2817172,2821122,+,Protein_Kinases
LOC103713099,serine/threonine-protein kinase ppk5-like%2C transcript variant X1,NC_052397.1,2857762,2873361,-,Protein_Kinases
LOC103713094,sodium/hydrogen exchanger 8%2C transcript variant X1,NC_052397.1,2887991,2937177,+,Ion_Transporters
LOC103713731,G-type lectin S-receptor-like serine/threonine-protein kinase At4g27290%2C transcript variant X1,NC_052397.1,2985524,2990463,+,Protein_Kinases
LOC120110984,aarF domain-containing protein kinase 1-like%2C transcript variant X3,NC_052397.1,3023690,3036170,+,Protein_Kinases
LOC103713013,serine/threonine-protein kinase GRIK2-like,NC_052397.1,3111948,3117772,+,Protein_Kinases
LOC103713703,probable protein kinase At2g41970,NC_052397.1,3120011,3122998,-,Protein_Kinases
LOC103712966,casein kinase 1-like protein HD16%2C transcript variant X4,NC_052397.1,3144021,3154306,-,Protein_Kinases
LOC103712661,stress-response A/B barrel domain-containing protein UP3,NC_052397.1,3523282,3531551,+,Stress_Osmoprotectants
LOC103712624,MOB kinase activator-like 1A%2C transcript variant X2,NC_052397.1,3648423,3652745,+,Protein_Kinases
LOC103712598,stress enhanced protein 1%2C chloroplastic-like,NC_052397.1,3659179,3664461,+,Stress_Osmoprotectants
LOC103705080,probable GTP diphosphokinase RSH2%2C chloroplastic%2C transcript variant X1,NC_052397.1,3821881,3828657,-,Protein_Kinases
LOC103702075,serine/threonine-protein kinase RIPK-like%2C transcript variant X1,NC_052397.1,3871552,3876202,+,Protein_Kinases
LOC103705101,pollen receptor-like kinase 3,NC_052397.1,4102040,4104611,-,Protein_Kinases
LOC103702560,1-phosphatidylinositol-3-phosphate 5-kinase FAB1A-like%2C transcript variant X1,NC_052397.1,4540270,4553339,+,Protein_Kinases
LOC103703498,stress enhanced protein 2%2C chloroplastic,NC_052397.1,6268813,6270731,+,Stress_Osmoprotectants
LOC103703479,shikimate kinase 3%2C chloroplastic-like,NC_052397.1,6319673,6324264,-,Protein_Kinases
LOC120103654,cyclin-dependent kinase C-2-like%2C transcript variant X2,NC_052397.1,6506274,6515032,-,Protein_Kinases
SERK3,LRR receptor kinase SERK2%2C transcript variant X3,NC_052397.1,6973060,6993867,+,Protein_Kinases
LOC120103653,cyclin-dependent kinase C-2-like,NC_052397.1,7333167,7341539,+,Protein_Kinases
LOC103695642,sodium channel modifier 1-like,NC_052397.1,7407838,7415093,-,Ion_Transporters
LOC103697029,mitogen-activated protein kinase kinase kinase 1-like,NC_052397.1,9064080,9127405,+,Protein_Kinases
LOC103714921,stress-associated endoplasmic reticulum protein 2-like,NC_052397.1,11441709,11448157,-,Stress_Osmoprotectants
LOC103713354,probable serine/threonine-protein kinase WNK11%2C transcript variant X2,NC_052397.1,11840474,11843070,+,Protein_Kinases
LOC120103998,guanylate kinase 1-like%2C transcript variant X1,NC_052397.1,11893440,11897569,+,Protein_Kinases
LOC103717807,calcium-dependent protein kinase 20-like,NC_052397.1,12004032,12009781,+,Protein_Kinases
LOC103705273,casein kinase II subunit alpha-2,NC_052397.1,13598624,13614133,+,Protein_Kinases
LOC103705320,putative receptor-like protein kinase At3g47110,NC_052397.1,14392067,14392678,-,Protein_Kinases
LOC103699166,probable LRR receptor-like serine/threonine-protein kinase At1g74360,NC_052397.1,14437127,14440847,-,Protein_Kinases
LOC103710125,probable LRR receptor-like serine/threonine-protein kinase At1g74360,NC_052397.1,14464352,14469007,-,Protein_Kinases
LOC103709257,probable leucine-rich repeat receptor-like protein kinase At1g35710,NC_052397.1,14767898,14778078,-,Protein_Kinases
LOC103709250,diacylglycerol kinase 1%2C transcript variant X4,NC_052397.1,14864701,14875430,-,Protein_Kinases
LOC103707567,SNF1-related protein kinase regulatory subunit beta-2-like,NC_052397.1,15927914,15935339,+,Protein_Kinases
LOC103707610,probable LRR receptor-like serine/threonine-protein kinase At2g16250,NC_052397.1,16245979,16258490,+,Protein_Kinases
LOC103707648,probable receptor-like serine/threonine-protein kinase At4g34500,NC_052397.1,16408771,16414464,+,Protein_Kinases
LOC103707644,proline-rich receptor-like protein kinase PERK4,NC_052397.1,16526643,16531010,-,Protein_Kinases
LOC120111125,SNF1-related protein kinase regulatory subunit beta-2-like%2C transcript variant X2,NC_052397.1,16896439,16905024,-,Protein_Kinases
LOC103707653,leucine-rich repeat receptor-like serine/threonine-protein kinase BAM1,NC_052397.1,17176517,17180503,+,Protein_Kinases
LOC103707628,inositol-tetrakisphosphate 1-kinase 3-like%2C transcript variant X1,NC_052397.1,17241552,17253791,+,Protein_Kinases
LOC103707661,L-type lectin-domain containing receptor kinase SIT2-like,NC_052397.1,17323802,17326154,+,Protein_Kinases
LOC103707662,L-type lectin-domain containing receptor kinase SIT2-like,NC_052397.1,17328007,17330078,+,Protein_Kinases
LOC103723952,serine/threonine receptor-like kinase NFP,NC_052397.1,18186144,18188153,-,Protein_Kinases
LOC103707476,wall-associated receptor kinase-like 14,NC_052397.1,18395304,18399976,-,Protein_Kinases
LOC103707475,inactive protein kinase SELMODRAFT_444075-like%2C transcript variant X2,NC_052397.1,18404693,18413974,-,Protein_Kinases
LOC120111269,calcium-dependent protein kinase 27-like%2C transcript variant X2,NC_052398.1,1311,5591,-,Protein_Kinases
LOC103714124,probable LRR receptor-like serine/threonine-protein kinase At1g56140,NC_052398.1,306247,311293,-,Protein_Kinases
LOC103715558,cation transporter HKT1-like%2C transcript variant X1,NC_052398.1,919443,922257,-,Ion_Transporters
LOC103715542,L-arabinokinase-like%2C transcript variant X2,NC_052398.1,1034953,1052753,+,Protein_Kinases
LOC103715546,pollen receptor-like kinase 1,NC_052398.1,1122232,1125307,-,Protein_Kinases
LOC103697732,probable receptor-like serine/threonine-protein kinase At5g57670,NC_052398.1,1339188,1344956,-,Protein_Kinases
LOC103720430,mitogen-activated protein kinase kinase 5-like,NC_052398.1,1560618,1562260,-,Protein_Kinases
LOC103720432,receptor-like protein kinase%2C transcript variant X2,NC_052398.1,1599887,1605572,+,Protein_Kinases
LOC103720434,diacylglycerol kinase 7-like%2C transcript variant X1,NC_052398.1,1607092,1627552,-,Protein_Kinases
LOC103710483,serine/threonine-protein kinase 4-like%2C transcript variant X1,NC_052398.1,1876821,1894203,+,Protein_Kinases
LOC103710481,putative leucine-rich repeat receptor-like serine/threonine-protein kinase At2g24130,NC_052398.1,2032543,2036672,+,Protein_Kinases
LOC103702406,protein NSP-INTERACTING KINASE 1-like,NC_052398.1,2958249,2963688,+,Protein_Kinases
LOC103702405,probable serine/threonine-protein kinase DDB_G0291350%2C transcript variant X4,NC_052398.1,2966384,2979243,+,Protein_Kinases
LOC103702392,protein ACTIVITY OF BC1 COMPLEX KINASE 7%2C chloroplastic,NC_052398.1,3152725,3179896,+,Protein_Kinases
LOC103702383,serine/threonine-protein kinase D6PK,NC_052398.1,3289195,3295919,-,Protein_Kinases
LOC103702338,brassinosteroid LRR receptor kinase BRL1-like%2C transcript variant X2,NC_052398.1,3784594,3789069,-,Protein_Kinases
LOC103702310,zinc finger A20 and AN1 domain-containing stress-associated protein 8-like,NC_052398.1,4147219,4149356,+,Transcription_Factors
LOC103702294,G-type lectin S-receptor-like serine/threonine-protein kinase LECRK3,NC_052398.1,4358797,4362266,-,Protein_Kinases
LOC103702420,wall-associated receptor kinase 2-like,NC_052398.1,4683372,4686648,+,Protein_Kinases
LOC103702419,pollen receptor-like kinase 4,NC_052398.1,4736731,4741104,+,Protein_Kinases
LOC103707048,serine/threonine-protein kinase STY13-like%2C transcript variant X1,NC_052398.1,5098154,5110548,-,Protein_Kinases
LOC103707050,probable serine/threonine-protein kinase PBL17,NC_052398.1,5124561,5132485,+,Protein_Kinases
LOC103707093,FGGY carbohydrate kinase domain-containing protein%2C transcript variant X1,NC_052398.1,5830889,5841758,+,Protein_Kinases
LOC103707099,CBL-interacting serine/threonine-protein kinase 21%2C transcript variant X5,NC_052398.1,5897268,5902135,-,Protein_Kinases
LOC103707100,mitogen-activated protein kinase kinase 5-like%2C transcript variant X1,NC_052398.1,5918543,5920141,-,Protein_Kinases
LOC103707134,probable receptor-like serine/threonine-protein kinase At5g57670,NC_052398.1,5988380,5993105,-,Protein_Kinases
LOC103707135,probable histidine kinase 1%2C transcript variant X5,NC_052398.1,6032398,6048671,-,Protein_Kinases
LOC103710072,nodulation receptor kinase-like,NC_052398.1,6273849,6281575,+,Protein_Kinases
LOC103700839,protein RICE SALT SENSITIVE 3,NC_052398.1,6494193,6496369,-,Other_Signaling_Metabolism
LOC120111327,mitogen-activated protein kinase kinase kinase NPK1-like,NC_052398.1,6834252,6841821,-,Protein_Kinases
LOC103706453,probable adenylate kinase 5%2C chloroplastic,NC_052398.1,7418200,7433523,-,Protein_Kinases
LOC103706483,calmodulin-binding receptor-like cytoplasmic kinase 3,NC_052398.1,7850321,7857562,-,Protein_Kinases
LOC103714255,probable LRR receptor-like serine/threonine-protein kinase At4g37250%2C transcript variant X2,NC_052398.1,8404202,8406894,+,Protein_Kinases
LOC120111341,serine/threonine-protein kinase UCN-like,NC_052398.1,8624574,8626391,-,Protein_Kinases
LOC103711373,zinc finger A20 and AN1 domain-containing stress-associated protein 11-like,NC_052398.1,8642277,8643069,-,Transcription_Factors
LOC103711371,zinc finger A20 and AN1 domain-containing stress-associated protein 8-like%2C transcript variant X3,NC_052398.1,8660201,8669157,+,Transcription_Factors
LOC103707762,fructokinase-1-like%2C transcript variant X1,NC_052398.1,9839047,9841382,-,Protein_Kinases
LOC103707784,PTI1-like tyrosine-protein kinase 3%2C transcript variant X2,NC_052398.1,10200392,10209465,-,Protein_Kinases
LOC103707793,probable LRR receptor-like serine/threonine-protein kinase At2g24230,NC_052398.1,10467004,10470157,+,Protein_Kinases
LOC120111352,phosphatidylinositol 4-kinase gamma 7-like%2C transcript variant X2,NC_052398.1,11174761,11179045,+,Protein_Kinases
LOC103718726,receptor-like kinase LIP2%2C transcript variant X3,NC_052398.1,11785374,11789682,-,Protein_Kinases
LOC120111363,adenylate kinase%2C chloroplastic-like%2C transcript variant X1,NC_052398.1,12361318,12368192,-,Protein_Kinases
LOC103697084,fructokinase-2-like,NC_052398.1,12911259,12916675,+,Protein_Kinases
LOC103723665,serine/threonine-protein kinase rio2,NC_052398.1,13172368,13184585,-,Protein_Kinases
LOC103712527,nucleoside diphosphate kinase 2%2C chloroplastic-like,NC_052398.1,13539886,13544521,-,Protein_Kinases
LOC103715198,uncharacterized aarF domain-containing protein kinase 2%2C transcript variant X2,NC_052398.1,13860418,13869441,+,Protein_Kinases
LOC103710575,uridine kinase-like protein 1%2C chloroplastic,NC_052398.1,14980748,15002590,+,Protein_Kinases
LOC103707871,SNF1-related protein kinase regulatory subunit gamma-1-like,NC_052398.1,15088081,15096707,-,Protein_Kinases
LOC103698609,serine/threonine-protein kinase CDG1-like%2C transcript variant X2,NC_052398.1,15237321,15252689,+,Protein_Kinases
LOC103707814,aspartokinase 2%2C chloroplastic-like,NC_052398.1,15670294,15680864,-,Protein_Kinases
LOC103707851,probable histidine kinase 3%2C transcript variant X2,NC_052398.1,16382340,16388569,+,Protein_Kinases
LOC103711028,ATP-dependent 6-phosphofructokinase 5%2C chloroplastic%2C transcript variant X2,NC_052399.1,660621,691103,+,Protein_Kinases
LOC103710986,CDPK-related kinase 5-like,NC_052399.1,896666,908850,+,Protein_Kinases
LOC103718288,cyclin-dependent kinase inhibitor 1-like,NC_052399.1,1209556,1210441,+,Protein_Kinases
LOC103712918,pyridoxal kinase%2C transcript variant X1,NC_052399.1,2150540,2172117,+,Protein_Kinases
LOC103696013,mitogen-activated protein kinase kinase 9-like,NC_052399.1,2995440,2996821,+,Protein_Kinases
LOC103695996,heat stress transcription factor A-1-like%2C transcript variant X1,NC_052399.1,3002623,3014949,-,Stress_Osmoprotectants
LOC103717443,probable sodium/metabolite cotransporter BASS2%2C chloroplastic,NC_052399.1,3743626,3750385,-,Ion_Transporters
LOC103708801,serine-threonine kinase receptor-associated protein-like,NC_052399.1,4008462,4018189,-,Protein_Kinases
LOC103708779,protein kinase PINOID 2-like,NC_052399.1,4331775,4333612,+,Protein_Kinases
LOC120111528,MAPK kinase substrate protein At1g80180-like,NC_052399.1,4432750,4433275,+,Protein_Kinases
LOC103708740,CBL-interacting protein kinase 24-like,NC_052399.1,4793218,4827832,-,Protein_Kinases
LOC103712890,universal stress protein A-like protein%2C transcript variant X3,NC_052399.1,5173578,5181339,-,Stress_Osmoprotectants
LOC103723274,probable leucine-rich repeat receptor-like protein kinase At1g68400,NC_052399.1,5534502,5537129,+,Protein_Kinases
LOC103720965,LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.2%2C transcript variant X2,NC_052399.1,5778781,5793098,-,Protein_Kinases
LOC103720968,LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.2,NC_052399.1,5809519,5810513,+,Protein_Kinases
LOC120111475,LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.1,NC_052399.1,5813763,5815149,+,Protein_Kinases
LOC103720969,LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.1,NC_052399.1,5815905,5824722,+,Protein_Kinases
LOC103720970,LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.1%2C transcript variant X1,NC_052399.1,5835693,5843039,+,Protein_Kinases
LOC120111548,PR5-like receptor kinase,NC_052399.1,5855221,5856546,+,Protein_Kinases
LOC103720961,receptor protein kinase-like protein ZAR1,NC_052399.1,5944308,5947514,+,Protein_Kinases
